Rank,Movie title,Release year,No of reviews,Director,Movie link,Tomatometer,Audience ratings,Run time(Minutes)
1,Black Panther,2018,499,Ryan Coogler,https://www.rottentomatoes.com/m/black_panther_2018,97%,79%,135
2,Avengers: Endgame,2019,509,Anthony Russo,https://www.rottentomatoes.com/m/avengers_endgame,94%,90%,182
3,Us,2019,515,Jordan Peele,https://www.rottentomatoes.com/m/us_2019,93%,59%,120
4,Toy Story 4,2019,429,Josh Cooley,https://www.rottentomatoes.com/m/toy_story_4,97%,94%,90
5,The Wizard of Oz,1939,117,"King Vidor, Victor Fleming",https://www.rottentomatoes.com/m/the_wizard_of_oz_1939,98%,89%,101
6,Lady Bird,2017,385,Greta Gerwig,https://www.rottentomatoes.com/m/lady_bird,99%,79%,93
7,Mission: Impossible - Fallout,2018,416,Christopher McQuarrie,https://www.rottentomatoes.com/m/mission_impossible_fallout,97%,87%,147
8,The Irishman,2019,424,Martin Scorsese,https://www.rottentomatoes.com/m/the_irishman,96%,86%,209
9,Citizen Kane,1941,88,Orson Welles,https://www.rottentomatoes.com/m/citizen_kane,100%,90%,119
10,BlacKkKlansman,2018,420,Spike Lee,https://www.rottentomatoes.com/m/blackkklansman,96%,83%,135
11,The Cabinet of Dr. Caligari,1920,53,Robert Wiene,https://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari,100%,89%,52
12,Get Out,2017,376,Jordan Peele,https://www.rottentomatoes.com/m/get_out,98%,86%,104
13,Casablanca,1942,90,Michael Curtiz,https://www.rottentomatoes.com/m/1003707-casablanca,99%,95%,102
14,Spider-Man: Into the Spider-Verse,2018,375,"Bob Persichetti, Peter Ramsey, Rodney Rothman",https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,97%,93%,100
15,Mad Max: Fury Road,2015,415,George Miller,https://www.rottentomatoes.com/m/mad_max_fury_road,97%,85%,120
16,"Nosferatu, a Symphony of Horror",1922,66,F.W. Murnau,https://www.rottentomatoes.com/m/nosferatu,97%,87%,63
17,Moonlight,2016,377,Barry Jenkins (III),https://www.rottentomatoes.com/m/moonlight_2016,98%,79%,110
18,A Star Is Born,2018,504,Bradley Cooper,https://www.rottentomatoes.com/m/a_star_is_born_2018,90%,79%,135
19,Booksmart,2019,346,Olivia Wilde,https://www.rottentomatoes.com/m/booksmart,97%,77%,105
20,Wonder Woman,2017,449,Patty Jenkins,https://www.rottentomatoes.com/m/wonder_woman_2017,93%,87%,141
21,The Farewell,2019,322,Lulu Wang,https://www.rottentomatoes.com/m/the_farewell_2019,98%,87%,98
22,Dunkirk,2017,444,Christopher Nolan,https://www.rottentomatoes.com/m/dunkirk_2017,93%,81%,107
23,Inside Out,2015,365,"Pete Docter, Ronnie del Carmen",https://www.rottentomatoes.com/m/inside_out_2015,98%,89%,94
24,The Third Man,1949,80,Carol Reed,https://www.rottentomatoes.com/m/the_third_man,99%,93%,104
25,Modern Times,1936,58,Charles Chaplin,https://www.rottentomatoes.com/m/modern_times,100%,95%,87
26,Eighth Grade,2018,298,Bo Burnham,https://www.rottentomatoes.com/m/eighth_grade,99%,83%,94
27,It Happened One Night,1934,59,Frank Capra,https://www.rottentomatoes.com/m/it_happened_one_night,98%,93%,105
28,Roma,2018,377,Alfonso Cuarón,https://www.rottentomatoes.com/m/roma_2018,95%,72%,135
29,Coco,2017,340,"Lee Unkrich, Adrian Molina",https://www.rottentomatoes.com/m/coco_2017,97%,94%,109
30,La Grande illusion,1938,66,Jean Renoir,https://www.rottentomatoes.com/m/la_grande_illusion,97%,92%,113
31,The Godfather,1972,96,Francis Ford Coppola,https://www.rottentomatoes.com/m/godfather,98%,98%,175
32,Spotlight,2015,364,Tom McCarthy,https://www.rottentomatoes.com/m/spotlight_2015,97%,93%,129
33,A Quiet Place,2018,367,John Krasinski,https://www.rottentomatoes.com/m/a_quiet_place_2018,95%,83%,90
34,Selma,2014,304,Ava DuVernay,https://www.rottentomatoes.com/m/selma,99%,86%,127
35,Snow White and the Seven Dwarfs,1937,52,"David Hand, William Cottrell, David D. Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen, Dick Richard, Webb Smith, Dorothy Ann Blank, Merrill de Maris, Walt Disney, Richard Creedon",https://www.rottentomatoes.com/m/1048445-snow_white_and_the_seven_dwarfs,98%,78%,83
36,Singin' in the Rain,1952,60,"Stanley Donen, Gene Kelly",https://www.rottentomatoes.com/m/singin_in_the_rain,100%,95%,102
37,The Shape of Water,2017,436,Guillermo del Toro,https://www.rottentomatoes.com/m/the_shape_of_water_2017,92%,72%,119
38,Thor: Ragnarok,2017,414,Taika Waititi,https://www.rottentomatoes.com/m/thor_ragnarok_2017,93%,87%,130
39,Arrival,2016,420,Denis Villeneuve,https://www.rottentomatoes.com/m/arrival_2016,94%,82%,116
